name,brandName,comparisonPriceUnit,urlSlugText,productConcreteSku,usaSnapEligible,formattedPrice,preFormattedUnitContent,categoryName,categoryKey,mainCategoryName,mainCategoryKey,text,cluster
"Strawberry Yogurt Bites, 1 oz",Little Journey,oz,little-journey-strawberry-yogurt-bites-1-oz,2133,True,$2.45,,Baby Food & Snacks,51,Baby Items,5,"Strawberry Yogurt Bites, 1 oz Little Journey oz little-journey-strawberry-yogurt-bites-1-oz $2.45 Baby Food & Snacks Baby Items",3
"Mixed Berry Yogurt Bites, 1 oz",Little Journey,oz,little-journey-mixed-berry-yogurt-bites-1-oz,2200,True,$2.45,,Baby Food & Snacks,51,Baby Items,5,"Mixed Berry Yogurt Bites, 1 oz Little Journey oz little-journey-mixed-berry-yogurt-bites-1-oz $2.45 Baby Food & Snacks Baby Items",3
"Organics Apple Blueberry Banana Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-blueberry-banana-baby-food-puree-4-oz,2762,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Blueberry Banana Baby Food Puree, 4 oz Little Journey oz little-journey-apple-blueberry-banana-baby-food-puree-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Organics Apple Banana Blueberry Oat Flax, 4 oz",Little Journey,oz,little-journey-organics-apple-banana-blueberry-oat-flax-4-oz,2889,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Apple Banana Blueberry Oat Flax, 4 oz Little Journey oz little-journey-organics-apple-banana-blueberry-oat-flax-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Organics Pear Mixed Berry Beet Flax, 4 oz",Little Journey,oz,little-journey-organics-pear-mixed-berry-beet-flax-4-oz,2890,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Pear Mixed Berry Beet Flax, 4 oz Little Journey oz little-journey-organics-pear-mixed-berry-beet-flax-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Organics Mango Apple Banana Avocado Kale, 4 oz",Little Journey,oz,little-journey-organics-mango-apple-banana-avocado-kale-4-oz,2891,True,$0.95,,Baby Food & Snacks,51,Baby Items,5,"Organics Mango Apple Banana Avocado Kale, 4 oz Little Journey oz little-journey-organics-mango-apple-banana-avocado-kale-4-oz $0.95 Baby Food & Snacks Baby Items",3
"Apple Rice Rusks, 1.76 oz",Little Journey,oz,little-journey-apple-rice-rusks-1-76-oz,7270,True,$2.09,,Baby Food & Snacks,51,Baby Items,5,"Apple Rice Rusks, 1.76 oz Little Journey oz little-journey-apple-rice-rusks-1-76-oz $2.09 Baby Food & Snacks Baby Items",3
"Strawberry Banana Rice Rusks, 1.76 oz",Little Journey,oz,little-journey-strawberry-banana-rice-rusks-1-76-oz,9812,True,$2.09,,Baby Food & Snacks,51,Baby Items,5,"Strawberry Banana Rice Rusks, 1.76 oz Little Journey oz little-journey-strawberry-banana-rice-rusks-1-76-oz $2.09 Baby Food & Snacks Baby Items",3
"Gerber Blueberry Puffs, 1.48 oz",Gerber,oz,gerber-gerber-blueberry-puffs-1-48-oz,21820,True,$2.99,,Baby Food & Snacks,51,Baby Items,5,"Gerber Blueberry Puffs, 1.48 oz Gerber oz gerber-gerber-blueberry-puffs-1-48-oz $2.99 Baby Food & Snacks Baby Items",3
"Gerber Strawberry Apple Puffs, 1.48 oz",Gerber,oz,gerber-gerber-strawberry-apple-puffs-1-48-oz,21827,True,$2.99,,Baby Food & Snacks,51,Baby Items,5,"Gerber Strawberry Apple Puffs, 1.48 oz Gerber oz gerber-gerber-strawberry-apple-puffs-1-48-oz $2.99 Baby Food & Snacks Baby Items",3
"Gerber Banana Puffs, 1.48 oz",Gerber,oz,gerber-gerber-banana-puffs-1-48-oz,21829,True,$2.99,,Baby Food & Snacks,51,Baby Items,5,"Gerber Banana Puffs, 1.48 oz Gerber oz gerber-gerber-banana-puffs-1-48-oz $2.99 Baby Food & Snacks Baby Items",3
"Sensitive Baby Wipes, 192 count",Little Journey,ct,little-journey-sensitive-baby-wipes-192-count,497,False,$6.39,,"Diapers, Wipes & Wash",53,Baby Items,5,"Sensitive Baby Wipes, 192 count Little Journey ct little-journey-sensitive-baby-wipes-192-count $6.39 Diapers, Wipes & Wash Baby Items",3
"Baby Wipes Bundle, 216 count",Little Journey,ct,little-journey-baby-wipes-bundle-216-count,1241,False,$5.19,,"Diapers, Wipes & Wash",53,Baby Items,5,"Baby Wipes Bundle, 216 count Little Journey ct little-journey-baby-wipes-bundle-216-count $5.19 Diapers, Wipes & Wash Baby Items",3
"Gentle Baby Lotion, 8 oz",Little Journey,oz,little-journey-gentle-baby-lotion-8-oz,4592,False,$3.59,,"Diapers, Wipes & Wash",53,Baby Items,5,"Gentle Baby Lotion, 8 oz Little Journey oz little-journey-gentle-baby-lotion-8-oz $3.59 Diapers, Wipes & Wash Baby Items",3
"Gentle Diaper Rash Cream, 4 oz",Little Journey,oz,little-journey-gentle-diaper-rash-cream-4-oz,7968,False,$3.59,,"Diapers, Wipes & Wash",53,Baby Items,5,"Gentle Diaper Rash Cream, 4 oz Little Journey oz little-journey-gentle-diaper-rash-cream-4-oz $3.59 Diapers, Wipes & Wash Baby Items",3
"Gentle Baby Wash, 16 oz",Little Journey,oz,little-journey-gentle-baby-wash-16-oz,9323,False,$3.59,,"Diapers, Wipes & Wash",53,Baby Items,5,"Gentle Baby Wash, 16 oz Little Journey oz little-journey-gentle-baby-wash-16-oz $3.59 Diapers, Wipes & Wash Baby Items",3
"Girls Training Pant 4T/5T, 19 count",Little Journey,ct,little-journey-girls-training-pant-4t-5t-19-count,36188,False,$6.79,,"Diapers, Wipes & Wash",53,Baby Items,5,"Girls Training Pant 4T/5T, 19 count Little Journey ct little-journey-girls-training-pant-4t-5t-19-count $6.79 Diapers, Wipes & Wash Baby Items",3
"Girls Training Pant 3T/4T, 22 count",Little Journey,ct,little-journey-girls-training-pant-3t-4t-22-count,36191,False,$6.79,,"Diapers, Wipes & Wash",53,Baby Items,5,"Girls Training Pant 3T/4T, 22 count Little Journey ct little-journey-girls-training-pant-3t-4t-22-count $6.79 Diapers, Wipes & Wash Baby Items",3
