word,level,pos,definition_url,voice_url,clean_text,cluster
as soon as possible,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/possible_1#possible_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_so/as_soon_as_possible_1_us_1.ogg,soon possible,1
as such,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/such#such_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_su/as_such_1_us_1.ogg,,1
as though…,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_th/as_though_1_us_1.ogg,though,1
as to,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_18,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_to/as_to_1_us_1.ogg,,1
as well,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/well_1#well_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_we/as_well_1_us_1.ogg,well,1
ask for sth,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/ask_1#ask_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ask/ask_f/ask_for_sth_1_us_1.ogg,ask sth,3
associated with sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/associated#associated_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assoc/associated_with_sth_1_us_1.ogg,associated sth,3
at first,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/first_2#first_sng_8,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_fi/at_first_1_us_1.ogg,first,1
at home,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/home_1#home_sng_9,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_ho/at_home_1_us_2.ogg,home,1
at last,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/last1_3#last_hm1_sng_20,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_la/at_last_1_us_1.ogg,last,1
at least,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/least_2#least_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_le/at_least_1_us_1.ogg,least,1
at once,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/once_1#once_sng_6,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_on/at_once_1_us_1.ogg,,1
at present,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/present_2#present_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_pr/at_present_1_us_1.ogg,present,1
at risk,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/risk_1#risk_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_ri/at_risk_1_us_1.ogg,risk,1
at school,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/school_1#school_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_sc/at_school_1_us_1.ogg,school,1
at some point,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/point_1#point_sng_6,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_so/at_some_point_1_us_1.ogg,point,1
at the age of…,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/age_1#age_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_age_of_1_us_1.ogg,age,1
at the beginning of sth,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/beginning#beginning_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_beginning_of_sth_1_us_1.ogg,beginning sth,3
at the end,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/end_1#end_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_end_1_us_1.ogg,end,1
at the end of sth,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/end_1#end_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_end_of_sth_1_us_1.ogg,end sth,3
at the end of the day,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/day#end_sng_43,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_end_of_the_day_1_us_1.ogg,end day,0
at the expense of sb/sth,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/expense#expense_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_expense_of_sb_1_us_1.ogg,expense sbsth,4
at the hands of sb,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/hand_1#hand_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_hands_of_sb_1_us_1.ogg,hand sb,1
at the moment,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/moment#moment_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_moment_1_us_1.ogg,moment,1
at the same time,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_21,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_same_time_1_us_1.ogg,time,1
at the start of sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/start_2#start_sng_28,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_start_of_sth_1_us_1.ogg,start sth,3
at the time,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_time_1_us_1.ogg,time,1
at the time of sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_time_of_sth_1_us_1.ogg,time sth,3
at the top,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/top_1#top_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_top_1_us_1.ogg,top,1
at the weekend,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/weekend_1#weekend_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_the_weekend_1_us_1.ogg,weekend,1
at this point,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/point_1#point_sng_6,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_this_point_1_us_1.ogg,point,1
at this stage,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/stage_1#stage_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_th/at_this_stage_1_us_1.ogg,stage,1
at times,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_25,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_ti/at_times_1_us_1.ogg,time,1
at university,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/university#university_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_un/at_university_1_us_1.ogg,university,1
at work,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/work_2#work_sng_43,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/at_/at_wo/at_work_1_us_1.ogg,work,1
attached to sb/sth,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/attached#attached_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attac/attached_to_sb_1_us_1.ogg,attached sbsth,4
awareness of sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/awareness#awareness_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/aware/awareness_of_sth_1_us_1.ogg,awareness sth,3
away from sb/sth,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/away_1#away_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/away_/away_from_sb_1_us_1.ogg,away sbsth,4
back and forth,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/back_3#back_sng_41,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/back_/back_and_forth_1_us_1.ogg,back forth,1
back sb/sth up,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/back-up#backup3_e,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/back_/back_sb_up_1_us_1.ogg,back sbsth,4
bad for sb/sth,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/bad_1#bad_sng_8,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bad/bad_f/bad_for_sb_1_us_1.ogg,bad sbsth,4
bad news,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/bad_1#bad_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bad/bad_n/bad_news_1_us_1.ogg,bad news,1
bad thing,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/bad_1#bad_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bad/bad_t/bad_thing_1_us_1.ogg,bad thing,1
based on sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/based#based_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/based/based_on_sth_1_us_1.ogg,based sth,3
be about to do sth,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/about_3#about_sng_18,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_ab/be_about_to_do_sth_1_us_1.ogg,sth,3
be allowed to do sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/allow#allow_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_al/be_allowed_to_do_sth_1_us_1.ogg,allowed sth,3
be attributed to sb,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/attribute_1#attribute2_e,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_at/be_attributed_to_sb_1_us_1.ogg,attributed sb,1
be charged with sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/charge_2#charge_sng_16,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_ch/be_charged_with_sth_1_us_1.ogg,charged sth,3
be derived from sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/be-derived-from#derive_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_de/be_derived_from_sth_1_us_1.ogg,derived sth,3
be entitled to sth,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/entitle#entitle_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_en/be_entitled_to_sth_1_us_1.ogg,entitled sth,3
be expected to do sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/expect#expect_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_ex/be_expected_to_do_sth_1_us_1.ogg,expected sth,3
be found to do sth,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/find_1#find_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_fo/be_found_to_do_sth_1_us_1.ogg,found sth,3
be going on,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/go-on#go_sng_303,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_go/be_going_on_1_us_1.ogg,going,1
be going to do sth,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/go_1#go_sng_40,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/be_/be_go/be_going_to_do_sth_1_us_1.ogg,going sth,3
