cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1032,93000,2.5 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF907,110000,2.5 years,Red,Local,267 kg,blf,0,blf / blfs / blfh
BLF1037,91000,2.5 years,Non Red,Local,223 kg,blf,0,blf / blfs / blfh
BLF939,109000,2.5 years,Red,Local,263 kg,blf,0,blf / blfs / blfh
BLFB320,121000,3 years,Red,Local,292 kg,blfb,2,blfb / blfs / blfh
BLF986,91000,2.5 years,Non Red,Local,222 kg,blf,0,blf / blfs / blfh
BLF1094,99000,2.5 years,Red,Sindhi,242 kg,blf,0,blf / blfs / blfh
BLF1020,129000,2.5 years,Red,Local,312 kg,blf,0,blf / blfs / blfh
BLF863,175000,2.5 years,Red,Sahiwal,418 kg,blf,0,blf / blfs / blfh
BLF943,134000,2.5 years,Red,Red Chittagong,320 kg,blf,0,blf / blfs / blfh
BLF1089,91000,2.5 years,Red,Local,219 kg,blf,0,blf / blfs / blfh
BLF1112,124000,2.5 years,Red,Local,300 kg,blf,0,blf / blfs / blfh
BLFH1016,129000,3 years,Red,Local,319 kg,blfh,3,blfh / blfs / blfb
BLF1220,105000,3 years,Red,Local,255 kg,blf,0,blf / blfs / blfh
BLF978,125000,2.5 years,Non Red,Local,310 kg,blf,0,blf / blfs / blfh
BLFS236,177000,3 years,Non Red,Holstein Friesian Cross,446 kg,blfs,1,blfs / blfh / blfb
BLF952,95000,2.5 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1278,86000,2.5 years,Red,Local,208 kg,blf,0,blf / blfs / blfh
BLFB381,279000,3.5 years,Non Red,Holstein Friesian Cross,620 kg,blfb,2,blfb / blfs / blfh
BLF1232,85000,2.5 years,Non Red,Local,210 kg,blf,0,blf / blfs / blfh
BLFS246,144000,2.5 years,Non Red,Holstein Friesian Cross,363 kg,blfs,1,blfs / blfh / blfb
BLF1217,104000,3 years,Red,Local,253 kg,blf,0,blf / blfs / blfh
BLF956,95000,2.5 years,Non Red,Local,232 kg,blf,0,blf / blfs / blfh
BLF1045,95000,2.5 years,Non Red,Local,232 kg,blf,0,blf / blfs / blfh
BLF1049,118000,2.5 years,Red,Sindhi,285 kg,blf,0,blf / blfs / blfh
BLF1021,139000,2.5 years,Red,Red Chittagong,332 kg,blf,0,blf / blfs / blfh
BLF1180,116000,3 years,Red,Local,282 kg,blf,0,blf / blfs / blfh
BLF1027,86000,3 years,Red,Local,206 kg,blf,0,blf / blfs / blfh
BLFS214,171000,2.5 years,Non Red,Holstein Friesian Cross,430 kg,blfs,1,blfs / blfh / blfb
BLF969,109000,2.5 years,Red,Local,263 kg,blf,0,blf / blfs / blfh
BLF932,87000,3 years,Non Red,Local,214 kg,blf,0,blf / blfs / blfh
BLF1210,98000,2.5 years,Non Red,Local,241 kg,blf,0,blf / blfs / blfh
BLFB378,432000,4 years,Non Red,Holstein Friesian Cross,960 kg,blfb,2,blfb / blfs / blfh
BLF870,125000,2.5 years,Red,Local,288 kg,blf,0,blf / blfs / blfh
BLFB168,130000,3 years,Red,Local,314 kg,blfb,2,blfb / blfs / blfh
BLF880,120000,2.5 years,Red,Sahiwal,290 kg,blf,0,blf / blfs / blfh
BLF1226,93000,2.5 years,Non Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1103,96000,3 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1087,110000,2.5 years,Red,Sahiwal,266 kg,blf,0,blf / blfs / blfh
BLF1274,109000,2.5 years,Red,Red Chittagong,262 kg,blf,0,blf / blfs / blfh
BLF1347,95000,2.5 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1275,92000,2.5 years,Red,Local,222 kg,blf,0,blf / blfs / blfh
BLF920,119000,3 years,Cross Non Red,Holstein Friesian Cross,294 kg,blf,0,blf / blfs / blfh
BLF1205,85000,2.5 years,Non Red,Local,210 kg,blf,0,blf / blfs / blfh
