player,tournament id,Player_initial_last,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,tournament name,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,date,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,place,Cluster
Aaron Wise,401025252,A. Wise,10577,25.0,0,19.1,5.0,Fort Worth Invitational,2018,,0,0,25.0,24.1,0,0,"Colonial Country Club, Ft. Worth, TX",2018-05-27,,,,,,,,,-,0
Aaron Wise,401025253,A. Wise,10577,28.5,0,23.2,5.6,The Memorial Tournament pres. by Nationwide,2018,,0,0,28.5,28.8,0,0,"Muirfield Village - Dublin, OH",2018-06-03,CUT,2,-0.42,0.82,-1.25,-0.64,-1.07,-1.49,-,0
Aaron Wise,401025255,A. Wise,10577,13.5,0,5.4,10.0,U.S. Open,2018,,0,0,13.5,15.4,1,0,"Shinnecock - Southampton, NY",2018-06-17,,,,,,,,,-,0
Aaron Wise,401025258,A. Wise,10577,29.0,0,27.6,4.6,John Deere Classic,2018,,0,0,29.0,32.2,0,0,"TPC Deere Run - Silvis, IL",2018-07-15,CUT,-2,-0.95,1.0,-0.41,0.11,0.7,-0.25,-,0
Aaron Wise,401025261,A. Wise,10577,69.5,0,66.7,26.0,WGC-Bridgestone Invitational,2018,6.0,12,12,81.5,104.7,0,1,"Firestone - Akron, OH",2018-08-05,T6,-8,1.18,-0.18,0.54,0.36,0.73,1.9,6,0
Aaron Wise,401025263,A. Wise,10577,23.5,0,18.1,10.6,PGA Championship,2018,,0,0,23.5,28.7,1,0,"Bellrive - St. Louis, MO",2018-08-12,CUT,4,-1.33,-0.75,-0.72,1.29,-0.18,-1.51,-,0
Aaron Wise,401025265,A. Wise,10577,82.5,6,79.3,36.8,The Northern Trust,2018,5.0,14,14,102.5,130.1,0,1,"Ridgewood - Paramus, NJ",2018-08-26,T5,-12,0.94,0.31,0.33,0.81,1.46,2.39,5,0
Aaron Wise,401025266,A. Wise,10577,56.0,3,49.8,4.9,Dell Technologies Championship,2018,69.0,0,0,59.0,54.7,0,1,"TPC Boston - Norton, MA",2018-09-03,T69,1,-1.13,-0.25,0.27,-0.04,-0.03,-1.15,69,0
Aaron Wise,401025268,A. Wise,10577,60.0,0,55.9,24.8,Tour Championship,2018,15.0,6,5,66.0,85.7,0,1,"East Lake - Atlanta, GA",2018-09-23,T15,-3,-0.42,0.26,-0.41,0.94,0.79,0.37,15,0
Aaron Wise,401056504,A. Wise,10577,90.0,6,84.7,48.6,Shriners Hospital for Children Open,2019,15.0,6,5,102.0,138.3,0,1,"TPC Summerlin - Las Vegas, NV",2018-11-04,T15,-13,0.23,-0.16,0.3,1.1,1.24,1.47,15,0
Aaron Wise,401056505,A. Wise,10577,90.0,3,87.0,22.1,Mayakoba Golf Classic,2019,10.0,7,6,100.0,115.1,0,1,"El Camaleon - Playa del Carmen, Mexico",2018-11-11,,,,,,,,,10,0
