Date,Close,High,Low,Open,Volume
7/17/2015,44.68348312,44.85198126,44.42672785,44.85198126,8715400
7/20/2015,45.10071564,45.52596909,44.69151283,44.71558269,8029600
7/21/2015,45.09268951,45.30932735,44.7556963,45.23711474,6717500
7/22/2015,45.48584747,45.63027271,45.13280971,45.27723494,6876100
7/23/2015,45.38153839,45.73457612,45.06059277,45.71852854,12439200
7/24/2015,45.96726608,47.5880358,45.85493602,47.43558524,14559700
7/27/2015,45.71853638,46.11169467,45.61422857,45.90307907,8993500
7/28/2015,45.84691238,46.05552798,45.38154454,46.04750266,8689200
7/29/2015,46.14377975,46.37646518,45.84690704,46.03947503,8470500
7/30/2015,46.58508682,46.65729944,45.74260521,45.97529067,7337900
7/31/2015,46.48077011,46.88997285,46.32029731,46.88997285,6519500
8/3/2015,46.68939209,47.30721051,46.56903976,47.03440761,7664000
8/4/2015,47.22846222,47.24455406,46.68939641,46.86640355,9113100
8/5/2015,47.47786331,47.72728211,47.33304296,47.59050614,7349100
8/6/2015,46.04573441,47.63074495,45.93309462,47.57442506,11064500
8/7/2015,46.021595,46.15032661,45.46643744,46.12619039,7782000
8/10/2015,45.27333069,46.36755064,44.85495229,46.09399565,12029200
8/11/2015,45.33770752,45.41011924,44.44463367,44.8871484,8062600
8/12/2015,45.36183929,45.37793113,44.21129934,44.8066818,10064400
8/13/2015,45.74000931,46.06183999,45.46645415,45.47450161,6731500
8/14/2015,45.94113922,45.95723106,45.58712804,45.82045505,4803900
8/17/2015,46.45606613,46.4721549,45.64344534,45.86068051,5768400
8/18/2015,46.52848053,46.71353204,46.39170146,46.63307286,5575400
8/19/2015,46.33537674,46.72961901,45.9572263,46.32733236,6044200
8/20/2015,44.90324402,45.98137253,44.87106034,45.86068529,7470900
8/21/2015,42.51366043,44.13889914,42.32056146,44.02625935,20211500
8/24/2015,40.50221634,42.37687036,33.83230356,38.65974291,27158800
8/25/2015,41.1056633,43.13318904,41.07347962,42.610215,19659000
8/26/2015,43.41478729,43.56765823,41.25048558,42.63435305,15517600
8/27/2015,45.0158844,45.22507214,43.77684057,44.05844005,15987900
8/28/2015,44.75840759,45.30551761,44.41244087,44.81472747,7584800
8/31/2015,44.01821518,44.62969275,43.84925548,44.40441009,7971200
9/1/2015,43.04466248,43.73659586,42.43318825,42.64237591,13424900
9/2/2015,44.46071243,44.48485172,43.24580829,43.84923817,9891100
