ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,text,clean_text,Cluster
111097,Mahabir Singh,M,15.0,165.0,52.0,India,IND,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",,"Mahabir Singh M India IND 1980 Summer Summer Moskva Wrestling Wrestling Men's Light-Flyweight, Freestyle ",mahabir singh india ind summer summer moskva wrestling wrestling mens lightflyweight freestyle,0
111097,Mahabir Singh,M,19.0,165.0,52.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",,"Mahabir Singh M India IND 1984 Summer Summer Los Angeles Wrestling Wrestling Men's Flyweight, Freestyle ",mahabir singh india ind summer summer los angeles wrestling wrestling mens flyweight freestyle,0
111098,Mahadeo R. Singh,M,,,,India,IND,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Marathon,,Mahadeo R. Singh M India IND 1924 Summer Summer Paris Athletics Athletics Men's Marathon ,mahadeo r singh india ind summer summer paris athletics athletics mens marathon,1
111099,Makhan Singh,M,25.0,167.0,67.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,,Makhan Singh M India IND 1964 Summer Summer Tokyo Athletics Athletics Men's 4 x 100 metres Relay ,makhan singh india ind summer summer tokyo athletics athletics mens x metres relay,1
111099,Makhan Singh,M,25.0,167.0,67.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,,Makhan Singh M India IND 1964 Summer Summer Tokyo Athletics Athletics Men's 4 x 400 metres Relay ,makhan singh india ind summer summer tokyo athletics athletics mens x metres relay,1
111100,Malwa Singh,M,18.0,137.0,52.0,India,IND,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",,"Malwa Singh M India IND 1964 Summer Summer Tokyo Wrestling Wrestling Men's Flyweight, Greco-Roman ",malwa singh india ind summer summer tokyo wrestling wrestling mens flyweight grecoroman,0
111100,Malwa Singh,M,18.0,137.0,52.0,India,IND,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Flyweight, Freestyle",,"Malwa Singh M India IND 1964 Summer Summer Tokyo Wrestling Wrestling Men's Flyweight, Freestyle ",malwa singh india ind summer summer tokyo wrestling wrestling mens flyweight freestyle,0
111101,Mangal Singh Champia,M,24.0,167.0,82.0,India,IND,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,,Mangal Singh Champia M India IND 2008 Summer Summer Beijing Archery Archery Men's Individual ,mangal singh champia india ind summer summer beijing archery archery mens individual,0
111102,Manish Singh Rawat,M,25.0,174.0,65.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,,Manish Singh Rawat M India IND 2016 Summer Summer Rio de Janeiro Athletics Athletics Men's 20 kilometres Walk ,manish singh rawat india ind summer summer rio de janeiro athletics athletics mens kilometres walk,1
111103,Manjit Singh,M,19.0,180.0,68.0,India,IND,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,,Manjit Singh M India IND 2008 Summer Summer Beijing Rowing Rowing Men's Lightweight Double Sculls ,manjit singh india ind summer summer beijing rowing rowing mens lightweight double sculls,0
